Date,BIST100,USDTRY,EURTRY,GOLD
2010-01-04,533.67919921875,1.473099946975708,2.125200033187866,1117.699951171875
2010-01-05,541.1481323242188,1.4726999998092651,2.115299940109253,1118.0999755859375
2010-01-06,545.4711303710938,1.4714000225067139,2.1226000785827637,1135.9000244140625
2010-01-07,549.72607421875,1.471500039100647,2.1075000762939453,1133.0999755859375
2010-01-08,547.97607421875,1.4579999446868896,2.1005001068115234,1138.199951171875
2010-01-11,539.2081298828125,1.4501999616622925,2.1050000190734863,1150.699951171875
2010-01-12,536.7611083984375,1.4535000324249268,2.1052000522613525,1128.9000244140625
2010-01-13,546.2691040039062,1.4515999555587769,2.1094000339508057,1136.4000244140625
2010-01-14,547.403076171875,1.4549000263214111,2.111599922180176,1142.5999755859375
2010-01-15,540.0541381835938,1.4559999704360962,2.095900058746338,1130.0999755859375
2010-01-18,545.505126953125,1.4503999948501587,2.089600086212158,
2010-01-19,551.5930786132812,1.4555000066757202,2.0794999599456787,1139.699951171875
2010-01-20,554.6890869140625,1.4723999500274658,2.0797998905181885,1112.300048828125
2010-01-21,553.0090942382812,1.4859000444412231,2.095400094985962,1102.699951171875
2010-01-22,539.9721069335938,1.4884999990463257,2.104300022125244,1089.199951171875
2010-01-25,542.80712890625,1.4860999584197998,2.102799892425537,1095.199951171875
2010-01-26,543.172119140625,1.4902000427246094,2.098900079727173,1097.9000244140625
2010-01-27,540.7071533203125,1.4986000061035156,2.10260009765625,1084.4000244140625
2010-01-28,547.7020874023438,1.496899962425232,2.091099977493286,1083.5999755859375
2010-01-29,546.5031127929688,1.4961999654769897,2.074700117111206,1083.0
2010-02-01,555.257080078125,1.482300043106079,2.0645999908447266,1104.300048828125
2010-02-02,551.4730834960938,1.4866000413894653,2.077399969100952,1117.4000244140625
2010-02-03,550.68408203125,1.4918999671936035,2.0754001140594482,1111.4000244140625
2010-02-04,534.6361694335938,1.520900011062622,2.0889999866485596,1062.4000244140625
2010-02-05,514.5462646484375,1.5276999473571777,2.09060001373291,1052.199951171875
2010-02-08,499.33135986328125,1.5221999883651733,2.076900005340576,1065.699951171875
2010-02-09,508.2613220214844,1.5069999694824219,2.076900005340576,1076.699951171875
2010-02-10,505.67230224609375,1.5152000188827515,2.085599899291992,1075.800048828125
2010-02-11,513.8072509765625,1.5110000371932983,2.0676000118255615,1094.199951171875
2010-02-12,510.6352844238281,1.51419997215271,2.064500093460083,1089.5
2010-02-15,513.3412475585938,1.5156999826431274,2.061300039291382,
2010-02-16,517.4822387695312,1.5053000450134277,2.071700096130371,1119.300048828125
2010-02-17,532.7301635742188,1.5113999843597412,2.0560998916625977,1119.5
2010-02-18,524.4951782226562,1.5254000425338745,2.0529000759124756,1118.0
2010-02-19,533.1871948242188,1.511199951171875,2.0576000213623047,1121.300048828125
2010-02-22,525.9262084960938,1.5289000272750854,2.0810000896453857,1112.5999755859375
2010-02-23,514.1632690429688,1.5506000518798828,2.0982000827789307,1102.699951171875
2010-02-24,496.5933837890625,1.5470000505447388,2.0957999229431152,1096.5
2010-02-25,487.39141845703125,1.5463999509811401,2.0940001010894775,1107.800048828125
